NIGRL - Complete Perk Reference Table (Updated 2026-03-30)
===========================================================

### Smoking (4 perks)
| Lvl | Perk | Effect |
| 2 | +2 CON | +2 Constitution |
| 3 | Better Later | Food effects last 50% longer |
| 4 | Double Batch | 20% chance food is not consumed when eaten |

### Dismantling (6 perks)
| Lvl | Perk | Effect |
|-----|------|--------|
| 1 | Scrapper's Eye | +2 BKS, +2 CON. Destroying items heals 10% of item value (min 3 HP) |
| 2 | Chop Shop | +2 SWG, +2 STS. Destroying item grants +5 armor and +$20 cash. 20% chance to gain Scrap |
| 3 | Nigga Armor | +2 SWG, +2 STS. Gain Nigga Armor stack on destroy (-1 DR, 30t) |
| 4 | Salvage Insight | +2 CON. 10% chance on destroy to gain +1 random stat permanently |
| 5 | Scrap Turret | Grants Scrap Turret (0 charges, max 1). Destroying item loads 1 charge. Place adjacent. Duration: item value/5 turns. Dmg: Dismantling lvl×3. HP: lvl×5. Range 3. Blocks movement. AI attacks it |
| 6 | Salvage Volley | Destroying item while turret alive fires 3 rapid shots at nearest enemy. Turret kills drop Scrap (value 25, triggers all Dismantling perks when destroyed) |

### Abandoning (4 perks)
| Lvl | Perk | Effect |
|-----|------|--------|
| 1 | +2 All Stats | +2 to all 6 stats |
| 2 | Anotha Motha | Receive 5 extra item drops when descending |
| 3 | Left Behind | +1 all stats. On descend, gain +1 DR per item left on floor (until next floor) |
| 4 | Milk From The Store | +1 all stats. Grants ability: double all stats for 10 turns (3/floor) |

### Meth-Head (3 perks)
| Lvl | Perk | Effect |
|-----|------|--------|
| 1 | Sped | 20% on melee hit: gain Sped (5t, half melee energy cost). Costs 10 meth. Can't proc while active |
| 2 | Crack Hallucinations | 1/floor. Next consumable grants meth = item value + Meth-Head XP |
| 3 | Tweaker | +10 speed per 25 meth (max +100 at 250 meth) |

### Chemical Warfare (3 perks)
| Lvl | Perk | Effect |
|-----|------|--------|
| 1 | Toxic Harvest | 50t cooldown. For 10 turns, kills grant +5 toxicity and refresh the buff |
| 2 | Toxic Resilience | +5 TOL, +3 CON, -30% Toxicity Resistance. Embrace the poison |
| 3 | Acid Meltdown | 100t cooldown. Cost: 25 tox. 20 turns: halve move cost. Kills explode into 3x3 acid pools |

### White Power (4 perks)
| Lvl | Perk | Effect |
|-----|------|--------|
| 1 | Bleached | +4 Swagger, +20% toxicity resistance |
| 2 | White Out | 3/floor. Gain 25 tox. +8 Swagger, -25% damage dealt for 50 turns |
| 3 | Pure | +4 Swagger. Double XP from toxicity resisted |
| 4 | Whitewash | +4 CON. 1/floor: consume half your toxicity and gain it as temporary HP |

### Mutation (3 perks)
| Lvl | Perk | Effect |
|-----|------|--------|
| 1 | Mutagen | +1 all stats. Immediately force-mutate |
| 2 | Unstable | 20% on melee hit: gain Unstable buff (20t, +5 rad, +2 melee dmg, hits irradiate enemies 10 rad) |
| 3 | Favorable Odds | +50% good mutation multiplier |

### Nuclear Research (4 perks)
| Lvl | Perk | Effect |
|-----|------|--------|
| 1 | Irradiated Intellect | +3 BKS. Radiation gained increased by BKS% of amount |
| 2 | Rad Bomb | Grants Rad Bomb ability (place crystal within 2, detonates 3t, 5x5, 15+BKS/2 dmg, 3/floor, costs 25 rad). Passive: can't mutate below 150 rad. At 100+ rad, charge refunded |
| 3 | Nutrient Producer | Gain Nutrient Producer tool (combine with consumable to make RadBar) |
| 4 | Isotope Junkie | Using any consumable grants +5 radiation (pierces resistance). Rad Bomb upgraded to 20+BKS dmg |

### Decontamination (3 perks)
| Lvl | Perk | Effect |
|-----|------|--------|
| 1 | Radiant | +30% Rad Resistance, +2 TOL, +2 STR |
| 2 | Emission | Grants Emission ability (set all visible enemies' rad to yours, 1/floor) |
| 3 | Fallout | +2 STR. 20% chance on dealing damage to irradiate target (+100 rad) |

### Gatting (3 perks)
| Lvl | Perk | Effect |
|-----|------|--------|
| 1 | Locked In | Fast mode: consecutive shots on same target deal +1 stacking dmg. Resets on switch/melee/ability |
| 2 | Doin' It Sideways | Fast mode: -10% accuracy (min 5%), -10 energy cost per shot (min 10) |
| 3 | Gun Crit | Guns can now crit. Chance scales with Street Smarts |

### Sniping (3 perks)
| Lvl | Perk | Effect |
|-----|------|--------|
| 1 | Sniper's Mark | Grants Sniper's Mark ability (mark enemy +10% dmg taken, 1/floor, refund on kill) |
| 2 | Dead Eye | Killing enemy with accurate shot grants +1 Swagger for rest of floor |
| 3 | Mega Crit | +2 STS. Unlocks gun crits. Accurate mode crits can mega crit for 4x damage |

### Drive-By (1 perk)
| Lvl | Perk | Effect |
|-----|------|--------|
| 1 | +3 SWG, +3 STS | +3 Swagger, +3 Street Smarts |

### Ammo Rat (3 perks)
| Lvl | Perk | Effect |
|-----|------|--------|
| 1 | Scrounger | 50% chance to gain +1 bonus round when picking up ammo |
| 2 | Ammo Nerd | +2 BKS, +2 STS. 2x XP from picking up ammo |
| 3 | Rat Race | Dismantling any item yields ammo (5 light, 3 medium, 1 heavy). 20% on ammo pickup: +10 speed 20t (stacks) |

### L Farming (4 perks)
| Lvl | Perk | Effect |
|-----|------|--------|
| 1 | Shake It Off | +2 CON. Heal 2 HP on every kill |
| 2 | Built Different | +4 SWG, +2 CON |
| 3 | Unfazed | 25% chance when taking damage to gain +1 Swagger for rest of floor. Stacks |
| 4 | Armor Up | 35% chance when hit while you have armor to block the hit (dmg reduced to 1) |

### Arachnigga (3 perks)
| Lvl | Perk | Effect |
|-----|------|--------|
| 1 | Web Trail | Immune to webs. Activate: 5 turns of leaving cobwebs behind you. 3/floor |
| 2 | Summon Spider | Summon Spider Hatchling on adjacent tile. Guards then chases and bites. 5/floor |
| 3 | Toxic Bite | Bite adjacent enemy for STS dmg + 2 Venom stacks (10t). Enemies dying with Venom leave a Venom Pool hazard (15t). 6/floor |

### Graffiti (3 perks)
| Lvl | Perk | Effect |
|-----|------|--------|
| 1 | Taggin' | +1 SWG, +2 STS. 50% chance spraying doesn't consume a charge |
| 2 | Street Art | Enemy dying on painted tile heals 5 HP. If you're also on painted tile, heal 5 more |
| 3 | Living Canvas | 20% on melee hit: enemy tile turns red. 20% when hit: your tile turns green. 20% on ability: your tile turns blue |

### Infected (6 perks)
| Lvl | Perk | Effect |
|-----|------|--------|
| 1 | Purge | Unlimited. Remove 20 infection. Next 3 melee attacks deal 50% damage. Stacks |
| 2 | Zombie Rage | +2 STR. Activate: +20% melee dmg, +20 energy/tick 10t. Stacks. +5 infection on use and per kill. Kills reset cooldown. 20t cooldown |
| 3 | Zombie Stare | +2 STR. Target within 3: stunned 3t, feared 10t. +5 infection. 15t cooldown |
| 4 | Corpse Explosion | Rage kills explode (30% max HP, r3 Euclid). +2 infection/explosion, +2 more per chain depth. At 100 infection: Infection Nova (STRx3, 2t stun, r5 Euclid), reset to 50. 1 Nova/floor |
| 5 | Hunger | +2 STR, +2 CON. Purge grants Hunger (10t): melee heals 25% dmg dealt, +1 infection/hit. Zombie Stare upgraded to 90° cone (range 3), infection cost increased to 8 |
| 6 | Outbreak | Target 7x7 area (center within 3). Enemies gain Outbreak (12t): damage echoes 30% to other marked enemies within r3. No chain echoing. Echo kills trigger Corpse Explosion. +2 infection/enemy. 30t cooldown |

### Cryomancy (5 perks)
| Lvl | Perk | Effect |
|-----|------|--------|
| 1 | Freeze | Grants Freeze ability (freeze visible enemy within 5, 5 stacks Frozen, 4/floor) |
| 2 | Ice Lance | Grants Ice Lance (piercing projectile 6 tiles, 3xCryo+BKS/2 dmg, +1 chill, shatters Frozen for bonus dmg, 10t cooldown) |
| 3 | Chill Out | Chilled enemies deal 10% less melee damage per chill stack (multiplicative, cap 50%) |
| 4 | Glacier Mind | +5 BKS. Cold spell charges doubled (per-floor resets and granted) |
| 5 | Ice Barrier | Grants Ice Barrier (consume chill stacks within 7 tiles, gain 10 Temp HP per stack, 3/floor) |

### Electrodynamics (5 perks)
| Lvl | Perk | Effect |
|-----|------|--------|
| 1 | Charged Up | +10 Speed, +2 BKS, +2 SWG |
| 2 | Volt Dash | Grants Volt Dash (blink within 5 radius, 1-(10+5xElectro) dmg along line + adjacent, +1 Shock, 4/floor) |
| 3 | Discharge | Grants Discharge (channel 6t: alternating shock wave +1 Shocked r7 / lightning pulse 1-(10+10xElectro) r5, 25t cooldown) |
| 4 | Surge | Lightning spell hits have 50% chance to grant Surge (+10 speed/stack, 20t, stacks & refreshes) |
| 5 | Static Reserve | Gain 3 Chain Lightning charges. While below 3 charges, regenerate 1 charge every 50 turns |

### Elementalist (3 perks)
| Lvl | Perk | Effect |
|-----|------|--------|
| 1 | Elemental Staves | +3 BKS. Receive staff matching highest elemental skill (Pyromania/Cryomancy/Electrodynamics, random on tie). Staves fire bolts (F key, range 4, 5+BKS/3 dmg, +1 element debuff). Req 12 BKS |
| 2 | Chromatic Orb | Grants Chromatic Orb (targeted projectile, random fire/cold/lightning, dmg = skill level x 6, 3 stacks of debuff, 20t cooldown) |
| 3 | Arcane Flux | +10% spell charge preservation. Charge preservation (Muffin, Blue Paint, etc.) now also negates cooldowns on spells |

===========================================================
34 skills, 120 defined perks (rest are placeholders up to level 10)

Changes from previous version (2026-03-29):
- Smartsness: Completely reworked. L2 Spell Retention, L3 Arcane Intelligence (spell damage stacks), L4 Spell Echo, L5 Spellweaver
- Blackkk Magic: Added L4 Dark Covenant (+3 curse charges/floor, Voodoo Doll drops)
- Jaywalking: Added L4 Shortcut, L5 Loitering, L6 Momentum. L1 Air Jordans corrected to -10 energy
- Deep-Frying: Added L4 Hot Pot (CON + DeepFrying*2 splash on melee after eating)
- Drinking: L3 changed from Slow Metabolism to Hair of the Dog (30% reapply on expiry). Added L4 Liquid Courage
- Beating L2 Bash: Corrected description (always crits + knockback, not stun)
- Glow Up renamed to Decontamination (matches code)
- Stabbing L1 Gouge: Corrected cooldown (12t, not 7t). Fixed description (stun, not bleed)
- Beating L3 Crit+: Clarified as +1 crit damage multiplier (not crit chance)
- Total perks: 106 -> 115
- Infected: Added L4 Corpse Explosion (rage kills explode, chain escalating infection, Infection Nova at 100)
- Infected: Added L5 Hunger (Purge grants heal-on-hit buff, Zombie Stare upgraded to 90° cone, +2 STR/CON)
- Infected: Added L6 Outbreak (7x7 area mark, 30% damage echo between linked enemies, combos with Corpse Explosion)
- Dismantling: Added L5 Scrap Turret (destroy item loads charge, place turret that shoots enemies, blocks movement, AI attacks it)
- Dismantling: Added L6 Salvage Volley (destroy fires 3 turret shots, turret kills drop Scrap item)
- Total perks: 115 -> 120
